吉林联通-组播1,#genre#
北京卫视,http://0.0.0.0:0/rtp/239.253.142.161:3000
兵团卫视,http://0.0.0.0:0/rtp/239.253.142.57:3000
重庆卫视,http://0.0.0.0:0/rtp/239.253.142.130:3000
东方卫视,http://0.0.0.0:0/rtp/239.253.142.122:3000
东南卫视,http://0.0.0.0:0/rtp/239.253.142.121:3000
甘肃卫视,http://0.0.0.0:0/rtp/239.253.142.179:3000
贵州卫视,http://0.0.0.0:0/rtp/239.253.142.129:3000
海南卫视,http://0.0.0.0:0/rtp/239.253.142.31:3000
河北卫视,http://0.0.0.0:0/rtp/239.253.142.126:3000
河南卫视,http://0.0.0.0:0/rtp/239.253.142.127:3000
黑龙江卫视,http://0.0.0.0:0/rtp/239.253.142.165:3000
湖北卫视,http://0.0.0.0:0/rtp/239.253.142.168:3000
湖南卫视,http://0.0.0.0:0/rtp/239.253.142.162:3000
吉林卫视,http://0.0.0.0:0/rtp/239.253.142.19:3000
江苏卫视,http://0.0.0.0:0/rtp/239.253.142.163:3000
江西卫视,http://0.0.0.0:0/rtp/239.253.142.128:3000
辽宁卫视,http://0.0.0.0:0/rtp/239.253.142.132:3000
内蒙古卫视,http://0.0.0.0:0/rtp/239.253.142.32:3000
宁夏卫视,http://0.0.0.0:0/rtp/239.253.142.63:3000
青海卫视,http://0.0.0.0:0/rtp/239.253.142.54:3000
三沙卫视,http://0.0.0.0:0/rtp/239.253.142.44:3000
山东卫视,http://0.0.0.0:0/rtp/239.253.142.167:3000
山西卫视,http://0.0.0.0:0/rtp/239.253.142.50:3000
陕西卫视,http://0.0.0.0:0/rtp/239.253.142.41:3000
深圳卫视,http://0.0.0.0:0/rtp/239.253.142.166:3000
四川卫视,http://0.0.0.0:0/rtp/239.253.142.123:3000
天津卫视,http://0.0.0.0:0/rtp/239.253.142.169:3000
西藏卫视,http://0.0.0.0:0/rtp/239.253.142.51:3000
新疆卫视,http://0.0.0.0:0/rtp/239.253.142.35:3000
延边卫视,http://0.0.0.0:0/rtp/239.253.142.101:3000
云南卫视,http://0.0.0.0:0/rtp/239.253.142.61:3000
云南卫视,http://0.0.0.0:0/rtp/239.253.142.86:3000
浙江卫视,http://0.0.0.0:0/rtp/239.253.142.125:3000
CETV1,http://0.0.0.0:0/rtp/239.253.142.14:3000
CETV2,http://0.0.0.0:0/rtp/239.253.142.71:3000
CETV4,http://0.0.0.0:0/rtp/239.253.142.74:3000
吉林联通-组播3,#genre#
CCTV-1 综合,http://0.0.0.0:0/rtp/239.253.142.12:3000
CCTV-2 财经,http://0.0.0.0:0/rtp/239.253.142.110:3000
CCTV-3 综艺,http://0.0.0.0:0/rtp/239.253.142.115:3000
CCTV-4 中文国际,http://0.0.0.0:0/rtp/239.253.142.251:3000
CCTV-4 欧洲,http://0.0.0.0:0/rtp/239.253.142.239:3000
CCTV-4 美洲,http://0.0.0.0:0/rtp/239.253.142.240:3000
CCTV-5 体育,http://0.0.0.0:0/rtp/239.253.142.116:3000
CCTV-5+ 体育赛事,http://0.0.0.0:0/rtp/239.253.142.120:8004
CCTV-6 电影,http://0.0.0.0:0/rtp/239.253.142.117:3000
CCTV-7 国防军事,http://0.0.0.0:0/rtp/239.253.142.247:3000
CCTV-8 电视剧,http://0.0.0.0:0/rtp/239.253.142.118:3000
CCTV-9 纪录,http://0.0.0.0:0/rtp/239.253.142.203:3000
CCTV-10 科教,http://0.0.0.0:0/rtp/239.253.142.204:3000
CCTV-11 戏曲,http://0.0.0.0:0/rtp/239.253.142.252:3000
CCTV-12 社会与法,http://0.0.0.0:0/rtp/239.253.142.205:3000
CCTV-13 新闻,http://0.0.0.0:0/rtp/239.253.142.253:3000
CCTV-14 少儿,http://0.0.0.0:0/rtp/239.253.142.206:3000
CCTV-15 音乐,http://0.0.0.0:0/rtp/239.253.142.88:3000
CCTV-16 奥林匹克,http://0.0.0.0:0/rtp/239.253.142.248:3000
CCTV-17 农业农村,http://0.0.0.0:0/rtp/239.253.142.202:3000
CGTN,http://0.0.0.0:0/rtp/239.253.142.241:3000
CGTN西语,http://0.0.0.0:0/rtp/239.253.142.243:3000
CGTN法语,http://0.0.0.0:0/rtp/239.253.142.244:3000
CGTN俄语,http://0.0.0.0:0/rtp/239.253.142.246:3000
CGTN阿语,http://0.0.0.0:0/rtp/239.253.142.245:3000
安徽卫视,http://0.0.0.0:0/rtp/239.253.142.131:3000
北京卫视,http://0.0.0.0:0/rtp/239.253.142.161:3000
兵团卫视,http://0.0.0.0:0/rtp/239.253.142.57:3000
重庆卫视,http://0.0.0.0:0/rtp/239.253.142.130:3000
东方卫视,http://0.0.0.0:0/rtp/239.253.142.122:3000
东南卫视,http://0.0.0.0:0/rtp/239.253.142.121:3000
甘肃卫视,http://0.0.0.0:0/rtp/239.253.142.179:3000
贵州卫视,http://0.0.0.0:0/rtp/239.253.142.129:3000
海南卫视,http://0.0.0.0:0/rtp/239.253.142.31:3000
河北卫视,http://0.0.0.0:0/rtp/239.253.142.126:3000
河南卫视,http://0.0.0.0:0/rtp/239.253.142.127:3000
黑龙江卫视,http://0.0.0.0:0/rtp/239.253.142.165:3000
湖北卫视,http://0.0.0.0:0/rtp/239.253.142.168:3000
湖南卫视,http://0.0.0.0:0/rtp/239.253.142.162:3000
吉林卫视,http://0.0.0.0:0/rtp/239.253.142.19:3000
江苏卫视,http://0.0.0.0:0/rtp/239.253.142.163:3000
江西卫视,http://0.0.0.0:0/rtp/239.253.142.128:3000
辽宁卫视,http://0.0.0.0:0/rtp/239.253.142.132:3000
内蒙古卫视,http://0.0.0.0:0/rtp/239.253.142.32:3000
宁夏卫视,http://0.0.0.0:0/rtp/239.253.142.63:3000
青海卫视,http://0.0.0.0:0/rtp/239.253.142.54:3000
三沙卫视,http://0.0.0.0:0/rtp/239.253.142.44:3000
山东卫视,http://0.0.0.0:0/rtp/239.253.142.167:3000
山西卫视,http://0.0.0.0:0/rtp/239.253.142.50:3000
陕西卫视,http://0.0.0.0:0/rtp/239.253.142.41:3000
深圳卫视,http://0.0.0.0:0/rtp/239.253.142.166:3000
四川卫视,http://0.0.0.0:0/rtp/239.253.142.123:3000
天津卫视,http://0.0.0.0:0/rtp/239.253.142.169:3000
西藏卫视,http://0.0.0.0:0/rtp/239.253.142.51:3000
新疆卫视,http://0.0.0.0:0/rtp/239.253.142.35:3000
延边卫视,http://0.0.0.0:0/rtp/239.253.142.101:3000
云南卫视,http://0.0.0.0:0/rtp/239.253.142.61:3000
云南卫视,http://0.0.0.0:0/rtp/239.253.142.86:3000
浙江卫视,http://0.0.0.0:0/rtp/239.253.142.125:3000
CETV1,http://0.0.0.0:0/rtp/239.253.142.14:3000
CETV2,http://0.0.0.0:0/rtp/239.253.142.71:3000
CETV4,http://0.0.0.0:0/rtp/239.253.142.74:3000
