北京电信-组播1,#genre#
CCTV-3 综艺,http://115.171.216.46:4000/rtp/225.1.8.92:8000
CCTV-4 中文国际,http://115.171.216.46:4000/rtp/225.1.8.104:8216
CCTV-4 中文国际,http://115.171.216.46:4000/rtp/225.1.8.4:8092
CCTV-5 体育,http://115.171.216.46:4000/rtp/225.1.8.89:8000
CCTV-5 体育,http://115.171.216.46:4000/rtp/225.1.8.93:8000
CCTV-5+ 体育赛事,http://115.171.216.46:4000/rtp/225.1.8.20:8004
CCTV-6 电影,http://115.171.216.46:4000/rtp/225.1.8.84:8000
CCTV-6 电影,http://115.171.216.46:4000/rtp/225.1.8.90:8000
CCTV-7 国防军事,http://115.171.216.46:4000/rtp/225.1.8.107:8024
CCTV-7 国防军事,http://115.171.216.46:4000/rtp/225.1.8.7:8104
CCTV-8 电视剧,http://115.171.216.46:4000/rtp/225.1.8.85:8000
CCTV-8 电视剧,http://115.171.216.46:4000/rtp/225.1.8.91:8000
CCTV-9 纪录,http://115.171.216.46:4000/rtp/225.1.8.109:8032
CCTV-9 纪录,http://115.171.216.46:4000/rtp/225.1.8.9:8112
CETV1,http://115.171.216.46:4000/rtp/225.1.8.169:4120
CETV1,http://115.171.216.46:4000/rtp/225.1.8.32:8152
CETV2,http://115.171.216.46:4000/rtp/225.1.8.193:4120
CETV3,http://115.171.216.46:4000/rtp/225.1.8.194:4120
CETV4,http://115.171.216.46:4000/rtp/225.1.8.195:4120
CGTN,http://115.171.216.46:4000/rtp/225.1.8.116:8056
三沙卫视,http://115.171.216.46:4000/rtp/225.1.8.78:4120
东南卫视,http://115.171.216.46:4000/rtp/225.1.8.149:8112
东南卫视,http://115.171.216.46:4000/rtp/225.1.8.79:8148
东方卫视,http://115.171.216.46:4000/rtp/225.1.8.147:8192
东方卫视,http://115.171.216.46:4000/rtp/225.1.8.45:8032
云南卫视,http://115.171.216.46:4000/rtp/225.1.8.139:8108
体育赛事,http://115.171.216.46:4000/rtp/225.1.8.81:8176
兵团卫视,http://115.171.216.46:4000/rtp/225.1.8.167:4120
内蒙古卫视,http://115.171.216.46:4000/rtp/225.1.8.156:8176
南方卫视,http://115.171.216.46:4000/rtp/225.1.8.225:5008
厦门卫视,http://115.171.216.46:4000/rtp/225.1.8.166:4120
吉林卫视,http://115.171.216.46:4000/rtp/225.1.8.153:8200
四川卫视,http://115.171.216.46:4000/rtp/225.1.8.142:8288
天津卫视,http://115.171.216.46:4000/rtp/225.1.8.136:8144
天津卫视,http://115.171.216.46:4000/rtp/225.1.8.48:8044
宁夏卫视,http://115.171.216.46:4000/rtp/225.1.8.159:8124
安徽卫视,http://115.171.216.46:4000/rtp/225.1.8.135:8272
安徽卫视,http://115.171.216.46:4000/rtp/225.1.8.52:8064
山东卫视,http://115.171.216.46:4000/rtp/225.1.8.138:8148
山东卫视,http://115.171.216.46:4000/rtp/225.1.8.50:8052
山西卫视,http://115.171.216.46:4000/rtp/225.1.8.155:8172
广东卫视,http://115.171.216.46:4000/rtp/225.1.8.151:8132
广东卫视,http://115.171.216.46:4000/rtp/225.1.8.49:8048
广西卫视,http://115.171.216.46:4000/rtp/225.1.8.152:8300
新疆卫视,http://115.171.216.46:4000/rtp/225.1.8.161:8160
江苏卫视,http://115.171.216.46:4000/rtp/225.1.8.134:8276
江苏卫视,http://115.171.216.46:4000/rtp/225.1.8.44:8028
江西卫视,http://115.171.216.46:4000/rtp/225.1.1.9:8164
江西卫视,http://115.171.216.46:4000/rtp/225.1.8.143:8280
江西卫视,http://115.171.216.46:4000/rtp/225.1.8.171:8166
河北卫视,http://115.171.216.46:4000/rtp/225.1.8.150:8292
河北卫视,http://115.171.216.46:4000/rtp/225.1.8.76:8002
河南卫视,http://115.171.216.46:4000/rtp/225.1.8.140:8128
浙江卫视,http://115.171.216.46:4000/rtp/225.1.8.133:8284
浙江卫视,http://115.171.216.46:4000/rtp/225.1.8.46:8036
海南卫视,http://115.171.216.46:4000/rtp/225.1.8.158:8304
深圳卫视,http://115.171.216.46:4000/rtp/225.1.8.145:9244
深圳卫视,http://115.171.216.46:4000/rtp/225.1.8.43:8020
湖北卫视,http://115.171.216.46:4000/rtp/225.1.8.146:8136
湖北卫视,http://115.171.216.46:4000/rtp/225.1.8.47:8044
湖南卫视,http://115.171.216.46:4000/rtp/225.1.8.132:8064
湖南卫视,http://115.171.216.46:4000/rtp/225.1.8.41:8012
甘肃卫视,http://115.171.216.46:4000/rtp/225.1.8.162:8188
西藏卫视,http://115.171.216.46:4000/rtp/225.1.8.160:8164
贵州卫视,http://115.171.216.46:4000/rtp/225.1.8.144:8120
贵州卫视,http://115.171.216.46:4000/rtp/225.1.8.77:8076
辽宁卫视,http://115.171.216.46:4000/rtp/225.1.8.137:8116
辽宁卫视,http://115.171.216.46:4000/rtp/225.1.8.51:8056
重庆卫视,http://115.171.216.46:4000/rtp/225.1.8.148:8296
重庆卫视,http://115.171.216.46:4000/rtp/225.1.8.172:8162
陕西卫视,http://115.171.216.46:4000/rtp/225.1.8.154:8140
青海卫视,http://115.171.216.46:4000/rtp/225.1.8.157:8184
黑龙江卫视,http://115.171.216.46:4000/rtp/225.1.8.141:8196
黑龙江卫视,http://115.171.216.46:4000/rtp/225.1.8.42:8016
北京卫视,http://115.171.216.46:4000/rtp/225.1.8.121:8002
北京卫视,http://115.171.216.46:4000/rtp/225.1.8.21:8002
北京IPTV4K超清,http://115.171.216.46:4000/rtp/225.1.8.211:8002
北京淘BABY,http://115.171.216.46:4000/rtp/225.1.8.36:8002
北京淘剧场,http://115.171.216.46:4000/rtp/225.1.8.37:8002
北京淘娱乐,http://115.171.216.46:4000/rtp/225.1.8.61:8002
北京淘电影,http://115.171.216.46:4000/rtp/225.1.8.38:8002
北京淘精彩,http://115.171.216.46:4000/rtp/225.1.8.33:8002
北京萌宠TV,http://115.171.216.46:4000/rtp/225.1.8.63:8002
密云综合,http://115.171.216.46:4000/rtp/225.1.8.75:8002
房山综合,http://115.171.216.46:4000/rtp/225.1.8.68:8002
朝阳融媒,http://115.171.216.46:4000/rtp/225.1.8.69:8002
中国足协杯,http://115.171.216.46:4000/rtp/225.1.8.40:8184
动作影院,http://115.171.216.46:4000/rtp/225.1.8.252:4120
喜剧影院,http://115.171.216.46:4000/rtp/225.1.8.251:4120
嘉佳卡通,http://115.171.216.46:4000/rtp/225.1.8.170:9268
大健康,http://115.171.216.46:4000/rtp/225.1.8.39:8002
家庭影院,http://115.171.216.46:4000/rtp/225.1.8.253:4120
山东教育,http://115.171.216.46:4000/rtp/225.1.8.190:4120
幸福剧场,http://115.171.216.46:4000/rtp/225.1.8.98:8002
幸福娱乐,http://115.171.216.46:4000/rtp/225.1.8.99:8002
快乐垂钓,http://115.171.216.46:4000/rtp/225.1.8.71:8002
武侠剧场,http://115.171.216.46:4000/rtp/225.1.8.250:4120
每日影院,http://115.171.216.46:4000/rtp/225.1.8.97:8002
熊猫频道,http://115.171.216.46:4000/rtp/225.1.8.210:8068
纪实人文,http://115.171.216.46:4000/rtp/225.1.8.53:8060
聚鲨健康,http://115.171.216.46:4000/rtp/225.1.8.60:8002
聚鲨健康,http://115.171.216.46:4000/rtp/225.1.8.94:8002
聚鲨北京,http://115.171.216.46:4000/rtp/225.1.8.59:8002
聚鲨北京,http://115.171.216.46:4000/rtp/225.1.8.70:8002
聚鲨国际,http://115.171.216.46:4000/rtp/225.1.8.66:8002
聚鲨国际,http://115.171.216.46:4000/rtp/225.1.8.96:8002
聚鲨环球精选,http://115.171.216.46:4000/rtp/225.1.8.58:8002
聚鲨环球精选,http://115.171.216.46:4000/rtp/225.1.8.67:8002
聚鲨生活,http://115.171.216.46:4000/rtp/225.1.8.62:8002
聚鲨生活,http://115.171.216.46:4000/rtp/225.1.8.95:8002
茶频道,http://115.171.216.46:4000/rtp/225.1.8.72:8002
财富天下,http://115.171.216.46:4000/rtp/225.1.8.165:9136
金鹰卡通,http://115.171.216.46:4000/rtp/225.1.8.163:9252
金鹰纪实,http://115.171.216.46:4000/rtp/225.1.8.31:8156
风尚生活,http://115.171.216.46:4000/rtp/225.1.8.103:8002
IPTV光影,http://115.171.216.46:4000/rtp/225.1.8.244:4120
IPTV军事,http://115.171.216.46:4000/rtp/225.1.8.236:4120
IPTV军旅剧场,http://115.171.216.46:4000/rtp/225.1.8.228:4120
IPTV动画,http://115.171.216.46:4000/rtp/225.1.8.240:4120
IPTV古装剧场,http://115.171.216.46:4000/rtp/225.1.8.229:4120
IPTV台球,http://115.171.216.46:4000/rtp/225.1.8.245:4120
IPTV国学,http://115.171.216.46:4000/rtp/225.1.8.237:4120
IPTV地理,http://115.171.216.46:4000/rtp/225.1.8.231:4120
IPTV城市剧场,http://115.171.216.46:4000/rtp/225.1.8.227:4120
IPTV墨宝,http://115.171.216.46:4000/rtp/225.1.8.243:4120
IPTV好学生,http://115.171.216.46:4000/rtp/225.1.8.241:4120
IPTV少儿动画,http://115.171.216.46:4000/rtp/225.1.8.207:9000
IPTV戏曲,http://115.171.216.46:4000/rtp/225.1.8.238:4120
IPTV收视指南,http://115.171.216.46:4000/rtp/225.1.8.201:8012
IPTV早教,http://115.171.216.46:4000/rtp/225.1.8.239:4120
IPTV武术,http://115.171.216.46:4000/rtp/225.1.8.247:4120
IPTV热播剧场,http://115.171.216.46:4000/rtp/225.1.8.202:9020
