上海移动-组播1,#genre#
吉林卫视,http://0.0.0.0:0/rtp/225.0.0.195:6140
吉林卫视,http://0.0.0.0:0/rtp/225.0.0.82:6140
哈哈炫动,http://0.0.0.0:0/rtp/225.0.0.208:6140
哈哈炫动,http://0.0.0.0:0/rtp/225.0.0.9:6140
嘉佳卡通,http://0.0.0.0:0/rtp/225.0.0.145:6140
四川卫视,http://0.0.0.0:0/rtp/225.0.0.122:6140
四川卫视,http://0.0.0.0:0/rtp/225.0.0.67:6140
外语频道,http://0.0.0.0:0/rtp/225.0.0.10:6140
外语频道,http://0.0.0.0:0/rtp/225.0.0.94:6140
天津卫视,http://0.0.0.0:0/rtp/225.0.0.114:6140
天津卫视,http://0.0.0.0:0/rtp/225.0.0.59:6140
央广购物,http://0.0.0.0:0/rtp/225.0.0.232:6140
央广购物,http://0.0.0.0:0/rtp/225.0.0.23:6140
好享购物,http://0.0.0.0:0/rtp/225.0.0.20:6140
宁夏卫视,http://0.0.0.0:0/rtp/225.0.0.79:6140
安徽卫视,http://0.0.0.0:0/rtp/225.0.0.113:6140
安徽卫视,http://0.0.0.0:0/rtp/225.0.0.58:6140
家家购物,http://0.0.0.0:0/rtp/225.0.0.24:6140
家庭理财,http://0.0.0.0:0/rtp/225.0.0.223:6140
家有购物,http://0.0.0.0:0/rtp/225.0.0.218:6140
山东卫视,http://0.0.0.0:0/rtp/225.0.0.111:6140
山东卫视,http://0.0.0.0:0/rtp/225.0.0.56:6140
山西卫视,http://0.0.0.0:0/rtp/225.0.0.72:6140
广东卫视,http://0.0.0.0:0/rtp/225.0.0.118:6140
广东卫视,http://0.0.0.0:0/rtp/225.0.0.63:6140
广西卫视,http://0.0.0.0:0/rtp/225.0.0.194:6140
广西卫视,http://0.0.0.0:0/rtp/225.0.0.77:6140
延边卫视,http://0.0.0.0:0/rtp/225.0.0.237:6140
快乐垂钓,http://0.0.0.0:0/rtp/225.0.0.207:6140
快乐购,http://0.0.0.0:0/rtp/225.0.0.231:6140
新疆卫视,http://0.0.0.0:0/rtp/225.0.0.80:6140
新闻综合,http://0.0.0.0:0/rtp/225.0.0.87:6140
欢笑剧场,http://0.0.0.0:0/rtp/225.0.0.158:6140
欢笑剧场,http://0.0.0.0:0/rtp/225.0.0.49:6140
江苏卫视,http://0.0.0.0:0/rtp/225.0.0.108:6140
江苏卫视,http://0.0.0.0:0/rtp/225.0.0.53:6140
江西卫视,http://0.0.0.0:0/rtp/225.0.0.115:6140
江西卫视,http://0.0.0.0:0/rtp/225.0.0.60:6140
河北卫视,http://0.0.0.0:0/rtp/225.0.0.143:6140
河北卫视,http://0.0.0.0:0/rtp/225.0.0.69:6140
河南卫视,http://0.0.0.0:0/rtp/225.0.0.192:6140
河南卫视,http://0.0.0.0:0/rtp/225.0.0.71:6140
法治天地,http://0.0.0.0:0/rtp/225.0.0.160:6140
法治天地,http://0.0.0.0:0/rtp/225.0.0.16:6140
浙江卫视,http://0.0.0.0:0/rtp/225.0.0.109:6140
浙江卫视,http://0.0.0.0:0/rtp/225.0.0.54:6140
海南卫视,http://0.0.0.0:0/rtp/225.0.0.125:6140
海南卫视,http://0.0.0.0:0/rtp/225.0.0.83:6140
深圳卫视,http://0.0.0.0:0/rtp/225.0.0.119:6140
深圳卫视,http://0.0.0.0:0/rtp/225.0.0.64:6140
游戏风云,http://0.0.0.0:0/rtp/225.0.0.162:6140
游戏风云,http://0.0.0.0:0/rtp/225.0.0.41:6140
湖北卫视,http://0.0.0.0:0/rtp/225.0.0.117:6140
湖北卫视,http://0.0.0.0:0/rtp/225.0.0.62:6140
湖南卫视,http://0.0.0.0:0/rtp/225.0.0.110:6140
湖南卫视,http://0.0.0.0:0/rtp/225.0.0.55:6140
甘肃卫视,http://0.0.0.0:0/rtp/225.0.0.224:6140
甘肃卫视,http://0.0.0.0:0/rtp/225.0.0.74:6140
生活时尚,http://0.0.0.0:0/rtp/225.0.0.163:6140
生活时尚,http://0.0.0.0:0/rtp/225.0.0.44:6140
直播室101,http://0.0.0.0:0/rtp/225.0.1.128:6140
直播室102,http://0.0.0.0:0/rtp/225.0.1.129:6140
直播室103,http://0.0.0.0:0/rtp/225.0.1.130:6140
直播室104,http://0.0.0.0:0/rtp/225.0.1.131:6140
直播室105,http://0.0.0.0:0/rtp/225.0.1.132:6140
直播室106,http://0.0.0.0:0/rtp/225.0.1.133:6140
直播室107,http://0.0.0.0:0/rtp/225.0.1.134:6140
直播室108,http://0.0.0.0:0/rtp/225.0.1.142:6140
直播室109,http://0.0.0.0:0/rtp/225.0.1.143:6140
直播室110,http://0.0.0.0:0/rtp/225.0.1.144:6140
直播室111,http://0.0.0.0:0/rtp/225.0.1.145:6140
第一财经,http://0.0.0.0:0/rtp/225.0.0.7:6140
第一财经,http://0.0.0.0:0/rtp/225.0.0.92:6140
纪实人文,http://0.0.0.0:0/rtp/225.0.0.6:6140
纪实人文,http://0.0.0.0:0/rtp/225.0.0.91:6140
聚鲨环球精选,http://0.0.0.0:0/rtp/225.0.0.22:6140
茶频道,http://0.0.0.0:0/rtp/225.0.0.206:6140
西藏卫视,http://0.0.0.0:0/rtp/225.0.0.81:6140
财富天下,http://0.0.0.0:0/rtp/225.0.0.196:6140
贵州卫视,http://0.0.0.0:0/rtp/225.0.0.124:6140
贵州卫视,http://0.0.0.0:0/rtp/225.0.0.78:6140
辽宁卫视,http://0.0.0.0:0/rtp/225.0.0.116:6140
辽宁卫视,http://0.0.0.0:0/rtp/225.0.0.61:6140
都市剧场,http://0.0.0.0:0/rtp/225.0.0.157:6140
都市剧场,http://0.0.0.0:0/rtp/225.0.0.48:6140
都市频道,http://0.0.0.0:0/rtp/225.0.0.89:6140
重庆卫视,http://0.0.0.0:0/rtp/225.0.0.123:6140
重庆卫视,http://0.0.0.0:0/rtp/225.0.0.68:6140
金色学堂,http://0.0.0.0:0/rtp/225.0.0.159:6140
金色学堂,http://0.0.0.0:0/rtp/225.0.0.42:6140
金鹰卡通,http://0.0.0.0:0/rtp/225.0.0.126:6140
金鹰卡通,http://0.0.0.0:0/rtp/225.0.0.236:6140
金鹰纪实,http://0.0.0.0:0/rtp/225.0.0.144:6140
陕西卫视,http://0.0.0.0:0/rtp/225.0.0.73:6140
青海卫视,http://0.0.0.0:0/rtp/225.0.0.235:6140
青海卫视,http://0.0.0.0:0/rtp/225.0.0.75:6140
高清导视,http://0.0.0.0:0/rtp/225.0.0.86:6140
黑龙江卫视,http://0.0.0.0:0/rtp/225.0.0.112:6140
黑龙江卫视,http://0.0.0.0:0/rtp/225.0.0.57:6140
